;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
13778;Star Trek Bridge Crew;PlayStation 4;2017;Red Storm Entertainment;0.28;0.11;0.12;0.0;0.05;8th Gen;Home Console;Sony;star trek bridge crew
13779;Star Trek: Conquest;PlayStation 2;2007;Bethesda Softworks;0.11;0.06;0.04;0.0;0.01;6th Gen;Home Console;Sony;star trek conquest
13780;Star Trek: Conquest;Wii;2007;Bethesda Softworks;0.13;0.11;0.01;0.0;0.01;7th Gen;Home Console;Nintendo;star trek conquest
13781;Star Trek: Invasion;PlayStation;2000;Warthog;0.27;0.15;0.1;0.0;0.02;5th Gen;Home Console;Sony;star trek invasion
13782;Star Trek: Legacy;Xbox 360;2006;Mad Doc Software;0.17;0.14;0.02;0.0;0.01;7th Gen;Home Console;Microsoft;star trek legacy
13783;Star Trek: Shattered Universe;PlayStation 2;2004;Starsphere Interactive;0.1;0.05;0.04;0.0;0.01;6th Gen;Home Console;Sony;star trek shattered universe
13784;Star Trek: Shattered Universe;Xbox;2004;Starsphere Interactive;0.04;0.03;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;star trek shattered universe
13785;Star Trek: Tactical Assault;Nintendo DS;2006;Quicksilver Software, Inc.;0.06;0.05;0.01;0.0;0.0;7th Gen;Handheld;Nintendo;star trek tactical assault
13787;Star Trek: The Game;PlayStation 3;2013;Digital Extremes;0.25;0.1;0.11;0.0;0.04;7th Gen;Home Console;Sony;star trek the game
13788;Star Trek: The Game;Xbox 360;2013;Digital Extremes;0.22;0.12;0.08;0.0;0.02;7th Gen;Home Console;Microsoft;star trek the game
13789;Star Trek: Voyager Elite Force;PlayStation 2;2001;Pipe Dream Interactive;0.15;0.07;0.06;0.0;0.02;6th Gen;Home Console;Sony;star trek voyager elite force
13790;Star Wars Battlefront;PlayStation 2;2004;Pandemic Studios;3.62;1.93;1.22;0.03;0.44;6th Gen;Home Console;Sony;star wars battlefront
13791;Star Wars Battlefront;Xbox;2004;Pandemic Studios;1.76;1.24;0.45;0.0;0.07;6th Gen;Home Console;Microsoft;star wars battlefront
13792;Star Wars Battlefront (2015);PlayStation 4;2015;EA DICE;8.03;3.31;3.19;0.23;1.3;8th Gen;Home Console;Sony;star wars battlefront (2015)
13793;Star Wars Battlefront (2015);Xbox One;2015;EA DICE;4.15;2.49;1.26;0.02;0.38;8th Gen;Home Console;Microsoft;star wars battlefront (2015)
13794;Star Wars Battlefront II;PlayStation 2;2005;Pandemic Studios;3.6;2.18;1.02;0.03;0.37;6th Gen;Home Console;Sony;star wars battlefront ii
13795;Star Wars Battlefront II;PlayStation Portable;2005;Savage Entertainment;1.22;1.05;0.06;0.01;0.1;6th Gen;Handheld;Sony;star wars battlefront ii
13796;Star Wars Battlefront II;Xbox;2005;Pandemic Studios;1.67;1.22;0.39;0.0;0.06;6th Gen;Home Console;Microsoft;star wars battlefront ii
13797;Star Wars Battlefront II (2017);PlayStation 4;2017;EA DICE;4.54;1.7;1.99;0.12;0.73;8th Gen;Home Console;Sony;star wars battlefront ii (2017)
13798;Star Wars Battlefront II (2017);Xbox One;2017;EA DICE;1.91;1.15;0.59;0.0;0.17;8th Gen;Home Console;Microsoft;star wars battlefront ii (2017)
13799;Star Wars Battlefront II (US sales);PlayStation 2;2005;Pandemic Studios;2.27;2.18;0.07;0.0;0.02;6th Gen;Home Console;Sony;star wars battlefront ii (us sales)
13800;Star Wars Battlefront: Elite Squadron;Nintendo DS;2009;n-Space;0.5;0.42;0.04;0.0;0.04;7th Gen;Handheld;Nintendo;star wars battlefront elite squadron
