;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
15846;Touhou Genso Wanderer Reloaded;Switch;2018;AQUA STYLE;0.02;0.01;0.0;0.01;0.0;8th Gen;Hybrid;Nintendo;touhou genso wanderer reloaded
15847;Touhou Genso Wanderer Tod: Reloaded;PlayStation Vita;2016;Unknown;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Sony;touhou genso wanderer tod reloaded
15848;Touhou Kobuto V: Burst Battle;PlayStation 4;2017;CUBETYPE;0.02;0.02;0.0;0.0;0.0;8th Gen;Home Console;Sony;touhou kobuto v burst battle
15849;Touhou Kobuto V: Burst Battle;Switch;2017;CUBETYPE;0.07;0.04;0.02;0.0;0.01;8th Gen;Hybrid;Nintendo;touhou kobuto v burst battle
15850;Touhou Shinpiroku ~ Urban Legend in Limbo;PlayStation 4;2016;Twilight Frontier;0.02;0.0;0.0;0.02;0.0;8th Gen;Home Console;Sony;touhou shinpiroku ~ urban legend in limbo
15851;Toukiden;PlayStation Portable;2013;Omega Force;0.18;0.0;0.0;0.18;0.0;6th Gen;Handheld;Sony;toukiden
15852;Toukiden;PlayStation Vita;2014;Omega Force;0.37;0.04;0.05;0.25;0.03;8th Gen;Handheld;Sony;toukiden
15853;Toukiden 2;PlayStation 3;2016;Omega Force;0.04;0.0;0.0;0.04;0.0;7th Gen;Home Console;Sony;toukiden 2
15854;Toukiden 2;PlayStation 4;2017;Omega Force;0.15;0.04;0.0;0.1;0.01;8th Gen;Home Console;Sony;toukiden 2
15855;Toukiden 2;PlayStation 4;2016;;0.08;0.0;0.0;0.08;0.0;8th Gen;Home Console;Sony;toukiden 2
15856;Toukiden 2;PlayStation Vita;2017;Omega Force;0.16;0.02;0.0;0.13;0.01;8th Gen;Handheld;Sony;toukiden 2
15857;Toukiden 2;PlayStation Vita;2016;;0.11;0.0;0.0;0.11;0.0;8th Gen;Handheld;Sony;toukiden 2
15858;Toukiden Kiwami;PlayStation 4;2015;Koei Tecmo Games;0.19;0.06;0.07;0.03;0.03;8th Gen;Home Console;Sony;toukiden kiwami
15859;Toukiden Kiwami;PlayStation Portable;2014;;0.05;0.0;0.0;0.05;0.0;6th Gen;Handheld;Sony;toukiden kiwami
15860;Toukiden Kiwami;PlayStation Vita;2014;;0.3;0.05;0.05;0.17;0.03;8th Gen;Handheld;Sony;toukiden kiwami
15861;Toukiden: The Age of Demons;PlayStation Portable;2014;Omega Force;0.05;0.0;0.0;0.05;0.0;6th Gen;Handheld;Sony;toukiden the age of demons
15862;Toukiden: The Age of Demons;PlayStation Portable;2013;;0.18;0.0;0.0;0.18;0.0;6th Gen;Handheld;Sony;toukiden the age of demons
15863;Toukiden: The Age of Demons;PlayStation Vita;2015;Omega Force;0.25;0.03;0.02;0.18;0.02;8th Gen;Handheld;Sony;toukiden the age of demons
